gazcfind;2015;2020;2025;2030;2035;2040;2045;2050
AT;34,5;35,0;35,4;24,0;13,4;10,8;7,6;7,3
BE;47,5;49,9;42,1;32,0;15,1;11,7;7,5;7,4
BG;10,7;9,6;9,0;6,7;5,2;4,2;3,2;3,0
CH;10,7;8,8;9,4;7,0;5,4;4,4;3,5;3,3
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;27,7;27,8;25,7;20,0;12,9;11,2;8,3;7,8
DE;246,3;244,2;228,4;157,7;105,8;45,4;24,6;19,7
DK;7,6;7,1;6,7;6,4;5,4;4,4;4,4;4,4
EE;1,1;1,2;1,3;0,9;0,7;0,6;0,4;0,4
EL;5,0;6,2;5,2;4,4;3,4;2,3;2,1;2,0
ES;82,9;100,8;73,4;42,2;29,3;19,9;16,9;16,7
FI;9,2;9,8;7,9;6,9;5,6;5,3;5,0;4,9
FR;118,6;116,8;97,4;73,0;54,0;32,8;20,4;20,4
HR;4,0;4,7;3,3;2,8;2,3;1,8;1,4;1,3
HU;16,5;18,0;12,8;11,5;8,5;7,0;5,5;5,3
IE;9,2;11,2;7,5;6,1;4,6;3,5;2,5;2,3
IT;98,6;100,6;86,6;69,5;38,5;31,8;22,1;20,8
LT;3,3;3,5;2,1;2,2;1,8;1,5;1,2;1,1
LU;3,2;3,1;2,9;1,6;0,9;0,4;0,1;0,0
LV;1,4;1,1;0,7;0,5;0,3;0,3;0,2;0,1
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;61,0;63,8;59,3;47,9;33,9;27,7;20,4;19,1
NO;3,0;3,5;3,1;2,8;2,5;2,4;2,2;2,2
PL;43,2;50,7;30,0;30,9;23,2;20,3;15,7;14,9
PT;12,9;14,2;13,1;10,4;8,6;7,1;5,8;5,6
RO;26,3;26,6;15,5;15,0;10,6;8,3;6,5;6,2
SE;6,2;5,7;5,3;4,6;4,1;3,9;3,6;3,5
SI;4,7;5,3;3,7;3,1;2,4;1,9;1,5;1,4
SK;16,3;18,0;15,4;10,8;5,6;4,5;3,2;3,1
UK;88,1;91,6;93,1;67,8;46,9;36,3;27,5;26,1
;;;;;;;;
EU27;897,8;934,9;790,7;591,2;396,2;268,7;190,3;178,8
EU28;985,9;1026,5;883,7;659,0;443,1;305,0;217,9;204,9
EU30;999,5;1038,8;896,2;668,7;451,0;311,7;223,6;210,4