vapcfres;2015;2020;2025;2030;2035;2040;2045;2050
AT;10,0;9,6;10,5;10,4;10,8;11,0;10,9;9,6
BE;0,0;0,3;4,7;6,4;7,6;8,5;9,1;9,5
BG;4,5;4,3;4,6;4,4;4,5;4,6;4,7;4,4
CH;2,6;2,5;2,8;2,9;3,1;3,3;3,4;3,2
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;11,7;11,4;11,9;11,1;11,0;10,9;10,7;9,6
DE;48,0;48,0;49,9;50,4;51,6;49,4;43,7;35,2
DK;18,8;19,1;20,2;20,6;20,2;20,0;18,6;17,0
EE;3,1;3,2;3,2;2,8;2,7;2,6;2,6;2,4
EL;0,4;0,3;0,3;0,2;0,2;0,2;0,2;0,2
ES;0,0;0,0;0,3;0,8;1,5;2,8;4,5;5,3
FI;18,3;17,3;17,1;15,4;15,0;14,6;14,0;12,4
FR;17,5;18,4;16,7;13,4;12,0;10,8;9,5;9,2
HR;1,5;1,3;1,4;1,3;1,2;1,1;1,0;0,8
HU;6,1;5,8;6,1;5,6;5,4;5,0;4,7;4,0
IE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
IT;10,6;11,0;11,9;11,9;11,2;9,8;8,6;8,1
LT;5,6;5,4;5,6;5,1;4,8;4,6;4,4;4,0
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;4,2;3,9;3,8;3,3;3,1;2,9;2,8;2,5
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;3,5;3,4;3,7;3,6;3,9;4,0;4,1;3,8
NO;1,2;1,2;1,4;1,4;1,6;1,7;1,8;1,7
PL;45,7;43,8;46,4;45,6;47,4;48,9;49,4;45,7
PT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
RO;8,5;8,4;9,7;10,0;11,0;11,8;12,5;11,9
SE;22,2;22,8;20,2;19,7;15,7;14,6;14,1;14,4
SI;1,0;0,9;1,0;1,0;1,0;1,0;1,0;0,9
SK;5,1;5,1;5,7;6,2;6,7;7,3;7,8;7,6
UK;3,1;3,0;3,6;3,7;4,0;4,3;4,5;4,2
;;;;;;;;
EU27;246,4;243,8;254,8;249,2;248,6;246,5;238,9;218,5
EU28;249,4;246,8;258,4;253,0;252,6;250,8;243,4;222,7
EU30;253,3;250,6;262,6;257,2;257,3;255,8;248,6;227,5