elccfresecs;2015;2020;2025;2030;2035;2040;2045;2050
AT;3,0;3,1;3,3;3,1;3,1;3,2;3,2;3,2
BE;1,0;1,1;1,2;1,1;1,1;1,0;0,9;0,8
BG;2,7;2,6;2,1;1,6;1,2;1,0;1,0;0,9
CH;2,5;2,5;2,9;2,9;3,1;3,4;3,4;3,5
CY;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2
CZ;3,1;3,2;3,5;3,1;3,0;3,1;3,0;2,9
DE;15,2;14,4;14,8;16,4;18,5;18,7;18,2;17,0
DK;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2
EE;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2
EL;3,0;2,4;1,6;1,2;1,2;1,2;1,2;1,7
ES;5,2;5,5;5,8;5,6;5,6;5,5;5,7;5,6
FI;2,3;2,3;2,0;1,5;1,2;1,1;1,0;1,0
FR;22,6;23,1;20,1;16,6;13,9;10,2;8,7;8,5
HR;1,2;1,1;1,0;0,9;0,8;0,7;0,7;0,7
HU;3,5;3,4;3,1;2,6;2,4;2,3;2,2;2,2
IE;0,7;0,8;1,3;1,4;1,5;1,7;1,7;1,8
IT;6,6;6,2;6,1;5,9;5,8;5,6;5,4;5,0
LT;0,1;0,1;0,2;0,3;0,4;0,4;0,5;0,4
LU;0,0;0,0;0,1;0,1;0,2;0,2;0,2;0,2
LV;0,3;0,3;0,4;0,4;0,4;0,4;0,3;0,3
MT;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1
NL;0,6;0,6;2,2;3,1;3,9;4,7;4,7;4,7
NO;6,5;6,7;5,6;4,1;3,2;2,7;2,5;2,6
PL;2,0;2,0;4,3;5,8;7,2;8,6;8,6;8,4
PT;0,3;0,3;0,9;1,2;1,5;1,8;1,8;1,8
RO;0,3;0,2;1,8;3,1;4,2;5,2;5,2;5,0
SE;3,2;3,4;3,5;3,2;2,7;2,2;1,7;1,4
SI;0,6;0,6;0,7;0,6;0,6;0,6;0,5;0,5
SK;1,0;1,0;1,2;1,2;1,3;1,4;1,4;1,4
UK;4,8;4,8;13,1;17,5;21,4;25,7;26,1;26,4
;;;;;;;;
EU27;79,2;78,6;81,9;80,6;82,3;81,6;78,3;76,0
EU28;84,0;83,4;95,0;98,1;103,7;107,3;104,4;102,4
EU30;92,9;92,6;103,5;105,1;110,1;113,4;110,4;108,5