paccfter;2015;2020;2025;2030;2035;2040;2045;2050
AT;1,7;1,7;1,6;1,4;1,3;1,1;1,1;1,1
BE;0,1;0,1;1,6;2,5;3,1;3,1;4,2;3,9
BG;0,9;0,9;1,0;1,0;1,0;1,0;1,1;1,1
CH;0,0;0,0;1,1;2,0;2,7;3,4;4,5;4,3
CY;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2
CZ;0,2;0,2;0,9;1,3;1,6;1,7;2,2;2,1
DE;12,5;11,2;18,1;28,1;36,7;39,2;37,4;32,8
DK;0,1;0,2;0,4;1,0;1,4;1,5;1,4;1,3
EE;0,0;0,0;0,1;0,1;0,1;0,1;0,2;0,1
EL;0,0;0,5;1,2;1,7;2,3;2,6;2,8;3,1
ES;4,4;4,5;6,4;7,8;9,0;9,8;12,1;11,7
FI;0,5;0,5;0,8;1,0;1,1;1,1;1,3;1,2
FR;0,0;0,0;0,5;3,7;11,8;20,8;21,6;20,4
HR;0,0;0,0;0,2;0,4;0,5;0,6;0,8;0,8
HU;0,0;0,0;0,7;1,2;1,6;1,8;2,5;2,4
IE;0,1;0,1;0,5;0,9;1,2;1,4;2,0;1,9
IT;24,9;24,9;22,2;19,2;16,5;13,8;13,1;12,7
LT;0,0;0,0;0,1;0,1;0,1;0,2;0,2;0,2
LU;0,0;0,0;0,1;0,1;0,2;0,1;0,2;0,2
LV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MT;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1
NL;1,4;1,4;3,4;4,9;6,3;7,4;9,6;9,2
NO;2,3;2,4;2,8;3,0;3,1;3,0;3,5;3,3
PL;0,2;0,2;2,4;4,1;5,5;6,5;8,8;8,3
PT;4,1;4,2;3,7;3,2;2,8;2,4;2,2;2,1
RO;0,0;0,0;0,5;1,0;1,5;1,9;2,7;2,7
SE;3,3;3,1;2,7;2,4;2,0;1,8;1,5;1,4
SI;0,0;0,0;0,2;0,3;0,4;0,5;0,7;0,7
SK;0,0;0,0;0,2;0,4;0,5;0,5;0,7;0,7
UK;12,0;12,0;15,4;17,5;19,2;19,9;24,6;24,1
;;;;;;;;
EU27;55,0;54,3;69,8;88,3;108,8;121,1;130,9;122,3
EU28;67,0;66,3;85,2;105,8;128,0;141,0;155,5;146,4
EU30;69,3;68,7;89,0;110,7;133,8;147,3;163,5;154,0