sthcfter;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,7;0,8;0,6;0,4;0,3;0,2;0,1;0,1
BE;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1
BG;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0
CH;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1
CY;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0
CZ;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1
DE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EL;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
ES;0,6;0,6;0,6;0,5;0,5;0,4;0,4;0,3
FI;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1
FR;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1
HR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
HU;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1
IE;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1
IT;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4
LT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,3
NO;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1
PL;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,3
PT;0,4;0,4;0,3;0,2;0,2;0,1;0,1;0,1
RO;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,1
SE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SI;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
UK;0,2;0,2;0,3;0,4;0,5;0,6;0,7;0,7
;;;;;;;;
EU27;2,7;2,7;2,7;2,6;2,5;2,3;2,4;2,3
EU28;2,9;2,9;3,0;3,0;3,0;2,9;3,1;3,0
EU30;2,9;2,9;3,1;3,1;3,1;3,0;3,4;3,3