hydcftra;2015;2020;2025;2030;2035;2040;2045;2050
AT;0,0;0,0;0,4;1,1;1,8;2,4;2,6;2,8
BE;0,0;0,0;0,0;0,1;0,6;1,8;3,7;5,1
BG;0,0;0,0;0,1;0,4;0,7;0,9;1,0;1,0
CH;0,0;0,0;0,2;0,7;1,2;1,5;1,7;1,7
CY;0,0;0,0;0,0;0,1;0,1;0,2;0,2;0,2
CZ;0,0;0,0;0,3;0,9;1,4;1,8;1,9;2,0
DE;0,0;0,0;0,0;4,1;17,8;22,6;28,4;30,9
DK;0,0;0,0;0,0;0,4;1,2;2,4;2,3;2,1
EE;0,0;0,0;0,0;0,1;0,2;0,3;0,3;0,3
EL;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ES;0,0;0,0;0,7;2,5;5,6;10,9;16,4;22,4
FI;0,0;0,0;0,3;1,0;1,6;2,2;2,4;2,5
FR;0,0;0,0;2,0;3,8;6,0;7,5;8,2;8,5
HR;0,0;0,0;0,1;0,3;0,4;0,6;0,6;0,7
HU;0,0;0,0;0,2;0,5;0,9;1,2;1,3;1,4
IE;0,0;0,0;0,1;0,4;0,6;0,8;0,9;0,9
IT;0,0;0,0;0,0;1,3;3,0;5,3;6,5;7,7
LT;0,0;0,0;0,1;0,3;0,6;0,7;0,8;0,9
LU;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1
LV;0,0;0,0;0,1;0,2;0,3;0,4;0,5;0,5
MT;0,0;0,0;0,0;0,1;0,1;0,1;0,2;0,2
NL;0,0;0,0;0,4;1,2;2,0;2,6;2,7;3,0
NO;0,0;0,0;0,2;0,8;1,3;1,8;2,0;2,1
PL;0,0;0,0;1,2;3,8;6,3;8,5;8,9;9,5
PT;0,0;0,0;0,3;1,0;1,7;2,2;2,4;2,6
RO;0,0;0,0;0,1;0,4;0,7;1,0;1,3;1,4
SE;0,0;0,0;0,0;0,3;0,9;1,7;2,5;3,9
SI;0,0;0,0;0,1;0,3;0,4;0,6;0,6;0,7
SK;0,0;0,0;0,1;0,3;0,5;0,7;0,8;0,8
UK;0,0;0,0;2,1;6,9;11,2;15,2;13,3;11,2
;;;;;;;;
EU27;0,0;0,0;6,7;25,0;55,3;79,2;97,5;112,0
EU28;0,0;0,0;8,8;31,8;66,5;94,4;110,8;123,2
EU30;0,0;0,0;9,3;33,3;69,0;97,7;114,4;127,1