caieon;2015;2020;2025;2030;2035;2040;2045;2050
AT;2,5;3,2;5,4;8,3;11,0;12,7;13,5;13,5
BE;1,5;2,5;3,8;5,2;6,6;8,2;10,5;12,0
BG;0,0;0,7;2,5;5,1;7,4;9,0;10,0;10,0
CH;0,1;0,1;1,0;2,7;4,4;5,6;6,7;6,7
CY;0,2;0,2;0,3;0,6;0,8;0,9;1,0;1,0
CZ;0,3;0,3;2,1;5,1;7,8;9,7;11,0;11,0
DE;41,3;54,4;76,5;95,0;115,0;130,0;135,0;135,0
DK;3,8;4,7;5,7;8,2;8,2;8,2;8,2;8,2
EE;0,3;0,3;0,8;1,8;2,8;3,6;4,2;4,2
EL;2,1;4,1;7,0;9,0;10,5;11,0;11,5;12,0
ES;23,0;27,6;40,1;53,0;58,0;63,0;67,0;67,0
FI;1,0;2,5;4,9;8,5;12,2;15,5;17,8;17,8
FR;10,3;17,6;26,6;37,2;46,1;53,3;58,5;61,3
HR;0,4;0,8;1,8;3,3;4,7;5,7;6,4;6,4
HU;0,3;0,3;1,7;4,1;6,3;7,9;9,0;9,0
IE;2,5;4,3;7,6;11,5;14,8;16,9;17,5;17,5
IT;9,1;10,7;15,2;20,7;26,7;32,2;37,2;41,7
LT;0,4;0,5;1,0;1,9;2,8;3,4;4,0;4,0
LU;0,1;0,2;0,2;0,3;0,3;0,4;0,4;0,4
LV;0,1;0,1;0,7;1,8;2,8;3,5;4,0;4,0
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;3,0;4,2;5,8;7,7;9,5;10,8;11,2;11,2
NO;0,9;4,0;7,6;11,6;15,6;18,8;20,0;20,0
PL;4,9;6,3;11,6;20,4;28,9;35,4;40,0;40,0
PT;4,9;5,1;6,3;8,5;10,5;12,0;13,0;13,0
RO;0,0;3,0;6,3;9,6;12,7;15,0;15,4;15,4
SE;5,6;9,8;14,8;18,9;21,5;22,3;22,7;23,1
SI;0,0;0,0;0,4;1,2;1,9;2,4;2,7;2,7
SK;0,0;0,0;1,2;2,9;4,1;4,6;4,9;4,9
UK;9,2;14,9;26,4;40,8;53,4;61,7;64,7;64,7
;;;;;;;;
EU27;117,7;163,4;250,5;349,9;433,9;497,5;536,5;546,3
EU28;126,9;178,3;276,9;390,6;487,3;559,2;601,2;611,0
EU30;127,8;182,4;285,5;405,0;507,3;583,6;627,8;637,6