proelccms;2015;2020;2025;2030;2035;2040;2045;2050
AT;2,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0
BE;4,0;1,8;1,8;1,8;0,9;0,0;0,0;0,0
BG;17,7;14,0;9,3;4,7;0,0;0,0;0,0;0,0
CH;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CZ;28,3;27,9;18,6;9,3;0,0;0,0;0,0;0,0
DE;231,2;140,2;76,3;0,0;0,0;0,0;0,0;0,0
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EL;13,5;2,2;1,3;0,0;0,0;0,0;0,0;0,0
ES;47,1;5,3;1,5;0,1;0,0;0,0;0,0;0,0
FI;2,3;1,6;0,7;0,0;0,0;0,0;0,0;0,0
FR;0,5;0,8;0,0;0,0;0,0;0,0;0,0;0,0
HR;2,1;1,5;1,0;0,5;0,0;0,0;0,0;0,0
HU;5,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0
IE;7,1;2,3;0,0;0,0;0,0;0,0;0,0;0,0
IT;43,2;18,8;0,0;0,0;0,0;0,0;0,0;0,0
LT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LU;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LV;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MT;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
NL;37,6;16,3;7,2;0,0;0,0;0,0;0,0;0,0
NO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PL;101,5;89,5;59,7;29,8;0,0;0,0;0,0;0,0
PT;14,2;5,3;0,0;0,0;0,0;0,0;0,0;0,0
RO;13,2;10,2;6,8;3,4;0,0;0,0;0,0;0,0
SE;;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SI;3,3;3,5;2,3;1,2;0,0;0,0;0,0;0,0
SK;0,0;1,1;0,5;0,0;0,0;0,0;0,0;0,0
UK;71,9;6,6;0,0;0,0;0,0;0,0;0,0;0,0
;;;;;;;;
EU27;573,7;346,2;187,0;50,8;0,9;0,0;0,0;0,0
EU28;645,6;352,8;187,0;50,8;0,9;0,0;0,0;0,0
EU30;645,6;352,8;187,0;50,8;0,9;0,0;0,0;0,0