proelcgaz;2015;2020;2025;2030;2035;2040;2045;2050
AT;6,6;9,4;9,4;7,1;4,7;2,4;0,0;0,0
BE;12,8;15,5;14,0;12,5;10,2;6,5;0,4;0,0
BG;0,9;0,5;0,5;0,4;0,3;0,1;0,0;0,0
CH;0,6;0,6;0,6;0,5;0,3;0,2;0,0;0,0
CY;0,0;0,1;0,1;0,1;0,2;0,3;0,4;0,4
CZ;6,2;8,3;8,3;6,6;4,9;3,2;1,6;1,6
DE;16,5;36,1;36,1;31,1;21,6;2,0;0,0;0,0
DK;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EE;0,3;0,9;0,9;0,7;0,5;0,3;0,1;0,1
EL;8,5;20,6;14,7;10,7;8,8;6,9;4,9;3,0
ES;27,3;54,1;48,2;38,0;27,4;17,0;7,2;7,7
FI;2,6;2,1;2,1;1,6;1,1;0,5;0,0;0,0
FR;21,0;44,5;23,3;5,4;4,1;16,4;16,9;16,8
HR;0,6;1,0;1,0;0,8;0,5;0,3;0,0;0,0
HU;2,2;5,3;5,3;4,5;3,8;3,0;2,2;2,2
IE;10,2;13,6;13,6;10,6;7,6;4,6;1,5;1,5
IT;39,5;57,9;57,9;31,8;11,6;2,9;0,0;0,0
LT;1,2;0,3;0,3;0,2;0,2;0,1;0,1;0,1
LU;0,5;0,1;0,1;0,0;0,0;0,0;0,0;0,0
LV;1,3;2,0;2,0;1,5;1,0;0,5;0,0;0,0
MT;0,0;1,6;1,6;1,2;0,9;0,5;0,2;0,2
NL;26,2;46,8;46,8;37,1;27,4;17,7;8,0;8,0
NO;2,2;0,1;0,1;0,1;0,1;0,0;0,0;0,0
PL;6,5;12,8;12,8;11,3;9,9;8,4;7,0;7,0
PT;7,4;13,8;13,8;10,3;6,9;3,4;0,0;0,0
RO;4,9;4,1;4,1;3,1;2,0;1,0;0,0;0,0
SE;;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SI;0,2;0,2;0,2;0,1;0,1;0,0;0,0;0,0
SK;1,2;2,9;2,9;2,2;1,5;0,9;0,2;0,2
UK;89,3;113,3;113,3;89,2;65,1;41,1;17,0;17,0
;;;;;;;;
EU27;204,4;354,3;319,7;229,0;157,0;98,8;50,5;48,7
EU28;293,8;467,6;433,0;318,2;222,1;139,9;67,5;65,7
EU30;296,5;468,4;433,8;318,8;222,5;140,0;67,5;65,7